SamAccountName,DisplayName,EmployeeID,Department,AccountType,Enabled,WhenCreated,LastLogonDate,PasswordLastSet,PrivilegedGroup,MFAEnrolled
njohnson,"Johnson, Nancy",E101710,Sales,User,TRUE,07/31/2009,07/01/2026,06/06/2026,,TRUE
wcampbell,"Campbell, Wei",E101116,Sales,User,TRUE,01/20/2022,08/07/2026,06/12/2026,,TRUE
kwright3,"Wright, Kwame",E103869,Marketing,User,TRUE,10/07/2011,08/05/2026,10/17/2025,,TRUE
rnelson,"Nelson, Rebecca",E104717,Information Technology,User,TRUE,12/24/2018,05/01/2026,03/03/2026,,TRUE
kmartin,"Martin, Karen",E104528,Finance,User,TRUE,04/06/2025,08/20/2026,07/08/2026,,TRUE
jallen,"Allen, Joseph",E100007,Information Technology,User,TRUE,03/06/2012,08/24/2026,07/08/2024,,TRUE
mbaker,"Baker, Matthew",E102276,Operations,User,TRUE,04/14/2017,08/23/2026,03/02/2025,,TRUE
knelson,"Nelson, Kevin",E102405,Operations,User,TRUE,08/04/2015,07/24/2026,06/29/2026,,TRUE
dyoung,"Young, David",E101068,Sales,User,TRUE,06/07/2017,07/18/2026,07/30/2026,,FALSE
dmartin,"Martin, Donald",E102066,Customer Service,User,TRUE,11/23/2019,04/04/2026,06/10/2026,Server Operators,TRUE
canderson,"Anderson, Charles",E101329,Engineering,User,TRUE,03/22/2014,07/15/2026,07/14/2026,,TRUE
nlee,"Lee, Nia",E100149,Marketing,User,TRUE,11/15/2018,07/27/2026,06/24/2026,,TRUE
wjohnson2,"Johnson, William",E104850,Engineering,User,TRUE,02/23/2013,10/04/2025,06/16/2026,,TRUE
dtaylor,"Taylor, Donna",E102140,Legal & Compliance,User,TRUE,09/20/2015,08/12/2026,06/11/2026,,TRUE
shared_warehouse,Shared - Warehouse Terminal,,Operations,Shared,TRUE,08/06/2024,06/08/2026,11/29/2024,Backup Operators,FALSE
pwilson,"Wilson, Patricia",E100884,Engineering,User,TRUE,02/06/2010,07/15/2026,03/03/2024,,TRUE
kdavis2,"Davis, Kwame",E103577,Customer Service,User,TRUE,07/13/2010,07/15/2024,06/02/2026,,TRUE
amartinez,"Martinez, Anthony",E104899,Information Technology,User,TRUE,12/14/2019,08/21/2026,11/06/2025,ERP_Superuser,FALSE
rnovak,"Novak, Robert",E105062,Customer Service,User,TRUE,05/09/2026,08/26/2026,06/03/2026,,TRUE
mcampbell,"Campbell, Mark",E101168,Engineering,User,TRUE,04/02/2013,07/19/2026,02/21/2026,ERP_Superuser,TRUE
cyoung,"Young, Chloe",E103240,Sales,User,FALSE,03/11/2018,11/27/2025,01/05/2026,,TRUE
snovak,"Novak, Steven",E100578,Sales,User,TRUE,12/28/2018,02/19/2024,08/17/2026,,TRUE
rwalker,"Walker, Ravi",E100338,Finance,User,TRUE,03/05/2016,06/30/2026,07/09/2026,,TRUE
aadams,"Adams, Anika",E100892,Sales,User,TRUE,12/01/2016,07/20/2026,08/16/2026,,TRUE
alewis,"Lewis, Ahmed",E104644,Sales,User,FALSE,01/12/2023,03/05/2025,12/10/2025,,TRUE
kthompson,"Thompson, Kimberly",E103010,Engineering,User,TRUE,06/07/2022,08/21/2026,03/13/2026,,FALSE
mlopez,"Lopez, Mateo",E100280,Finance,User,TRUE,01/21/2019,07/21/2026,08/27/2026,Backup Operators,TRUE
dallen,"Allen, Donald",E101105,Operations,User,TRUE,10/03/2017,12/29/2025,05/12/2026,,FALSE
crossi,"Rossi, Carol",E104784,Marketing,User,TRUE,08/07/2013,07/03/2026,08/24/2026,,TRUE
bkowalski,"Kowalski, Betty",E100686,Sales,User,TRUE,02/05/2017,08/02/2026,08/24/2026,,FALSE
twalker,"Walker, Tomas",E103831,Engineering,User,FALSE,12/14/2014,02/05/2026,07/08/2026,,TRUE
svc_sqlagent,Service - SQL Agent,,Information Technology,Service,TRUE,04/19/2020,04/24/2025,10/04/2020,,FALSE
mgreen3,"Green, Mateo",E105008,Marketing,User,FALSE,04/07/2020,04/17/2025,07/26/2026,,TRUE
jrossi2,"Rossi, Jessica",E105194,Human Resources,User,TRUE,10/20/2009,08/26/2026,07/30/2026,,FALSE
dhall,"Hall, Daniel",E101521,Information Technology,User,TRUE,02/21/2018,07/13/2026,07/19/2026,,FALSE
cscott,"Scott, Christopher",E100268,Sales,User,FALSE,04/26/2022,05/08/2024,05/28/2025,,TRUE
kjohnson,"Johnson, Kevin",E102679,Information Technology,User,FALSE,10/30/2014,08/29/2026,08/18/2026,,TRUE
mthomas2,"Thomas, Melissa",E103844,Sales,User,TRUE,12/10/2023,03/27/2026,08/07/2026,,TRUE
dwalker2,"Walker, Diego",E104270,Marketing,User,TRUE,01/12/2016,08/20/2026,08/12/2026,,TRUE
randersson,"Andersson, Robert",E100558,Operations,User,TRUE,01/27/2013,08/17/2026,07/14/2026,,TRUE
rmartinez,"Martinez, Ravi",E101671,Engineering,User,TRUE,11/30/2015,08/14/2026,12/21/2025,,TRUE
drodriguez,"Rodriguez, Daniel",E100302,Information Technology,User,TRUE,07/23/2016,07/11/2026,07/02/2026,,TRUE
spatel,"Patel, Sarah",E104556,Operations,User,TRUE,03/12/2020,08/05/2026,08/22/2026,,FALSE
rlewis,"Lewis, Robert",E102603,Finance,User,TRUE,10/14/2023,08/14/2026,09/02/2025,,TRUE
cwhite,"White, Christopher",E103977,Sales,User,TRUE,10/01/2015,08/16/2026,12/16/2025,,TRUE
jnovak,"Novak, Joshua",E105090,Finance,User,TRUE,04/10/2020,08/18/2026,02/17/2026,,TRUE
cdavis,"Davis, Carol",E103237,Information Technology,User,TRUE,02/14/2016,06/17/2025,07/17/2026,ERP_Superuser,TRUE
rthompson2,"Thompson, Ravi",E103776,Human Resources,User,TRUE,12/14/2010,08/23/2026,07/11/2026,,TRUE
mjohnson,"Johnson, Melissa",E105302,Sales,User,TRUE,05/19/2023,08/02/2026,05/14/2024,,TRUE
eallen,"Allen, Emily",E101443,Finance,User,TRUE,07/06/2014,07/17/2026,08/04/2026,,TRUE
ljackson,"Jackson, Lisa",E103627,Information Technology,User,TRUE,11/15/2015,08/21/2026,04/20/2023,,TRUE
mtorres,"Torres, Melissa",E100806,Customer Service,User,TRUE,03/05/2022,10/06/2025,07/29/2026,,TRUE
mroberts,"Roberts, Melissa",E102101,Customer Service,User,TRUE,12/18/2023,07/09/2026,06/07/2026,,TRUE
ldubois,"Dubois, Lisa",E104800,Engineering,User,TRUE,02/27/2011,07/31/2026,06/28/2026,,TRUE
lmoore,"Moore, Lisa",E102876,Legal & Compliance,User,TRUE,10/17/2013,08/20/2026,05/31/2023,,TRUE
kperez,"Perez, Kwame",E100484,Engineering,User,TRUE,03/01/2019,04/24/2025,08/07/2026,,TRUE
rroberts,"Roberts, Robert",E104812,Customer Service,User,TRUE,04/17/2013,07/27/2026,07/02/2026,,TRUE
manderson2,"Anderson, Matthew",E104338,Marketing,User,TRUE,03/28/2021,08/08/2026,06/05/2026,,TRUE
khall2,"Hall, Karen",E102454,Information Technology,User,TRUE,06/03/2020,08/03/2026,06/01/2024,,TRUE
mrobinson,"Robinson, Mateo",E102294,Engineering,User,TRUE,03/19/2014,07/03/2026,08/13/2026,,TRUE
iharris,"Harris, Ingrid",E104838,Operations,User,TRUE,08/06/2017,08/03/2026,07/21/2026,,TRUE
shaddad,"Haddad, Sarah",E100227,Customer Service,User,FALSE,07/08/2012,05/09/2026,10/18/2025,,FALSE
kwright,"Wright, Kenneth",E101658,Engineering,User,TRUE,07/27/2018,07/12/2026,07/29/2026,,TRUE
wmiller,"Miller, Wei",E101269,Engineering,User,TRUE,01/14/2009,07/11/2026,01/09/2026,,TRUE
frossi,"Rossi, Fatima",E102903,Customer Service,User,TRUE,03/30/2017,07/28/2026,08/26/2026,,TRUE
wjones,"Jones, Wei",E103280,Marketing,User,TRUE,12/28/2020,07/06/2026,08/21/2026,,TRUE
crivera,"Rivera, Charles",E104687,Engineering,User,TRUE,06/21/2023,08/26/2026,06/26/2026,Firewall_Admins,FALSE
storres,"Torres, Sarah",E101084,Information Technology,User,TRUE,05/18/2010,08/05/2026,03/24/2026,Server Operators,FALSE
tandersson,"Andersson, Tomas",E101450,Engineering,User,TRUE,06/07/2024,07/11/2026,05/13/2026,,TRUE
clopez,"Lopez, Charles",E103003,Engineering,User,TRUE,06/30/2018,08/29/2026,11/02/2025,,TRUE
tallen,"Allen, Thomas",E103427,Information Technology,User,FALSE,08/26/2011,04/08/2026,08/12/2026,Firewall_Admins,TRUE
jrossi,"Rossi, Joseph",E102832,Legal & Compliance,User,TRUE,05/19/2015,07/11/2026,07/28/2026,,TRUE
ynelson,"Nelson, Yuki",E101693,Sales,User,FALSE,01/14/2019,10/07/2025,12/03/2025,,TRUE
mmartin2,"Martin, Mateo",E103772,Information Technology,User,FALSE,07/05/2025,03/18/2026,05/06/2026,Backup Operators,FALSE
jcampbell,"Campbell, James",E102519,Engineering,User,TRUE,10/21/2021,08/02/2026,07/16/2026,,TRUE
jroberts,"Roberts, Jennifer",E101922,Engineering,User,TRUE,06/09/2011,07/16/2026,11/12/2025,Server Operators,TRUE
wperez,"Perez, Wei",E100134,Finance,User,FALSE,07/11/2015,07/26/2025,07/05/2026,,FALSE
droberts2,"Roberts, Donna",E104400,Operations,User,FALSE,06/30/2019,12/12/2025,09/11/2025,,TRUE
kbaker,"Baker, Karen",E101989,Legal & Compliance,User,TRUE,04/16/2021,07/30/2026,09/24/2025,,TRUE
inovak,"Novak, Ivan",E102233,Engineering,User,FALSE,02/02/2019,04/29/2026,06/14/2026,,TRUE
ehernandez,"Hernandez, Emily",E102132,Operations,User,TRUE,10/14/2020,08/24/2026,08/12/2026,,TRUE
tyoung,"Young, Thomas",E102307,Operations,User,TRUE,12/28/2010,07/17/2026,06/10/2026,,TRUE
aadams2,"Adams, Andrew",E101892,Operations,User,TRUE,05/24/2026,08/15/2026,05/24/2026,,TRUE
iramirez,"Ramirez, Ingrid",E102328,Operations,User,TRUE,08/04/2010,08/05/2026,07/25/2026,,TRUE
ewalker,"Walker, Elizabeth",E101286,Information Technology,User,TRUE,12/19/2020,09/30/2025,04/25/2026,,TRUE
ikowalski,"Kowalski, Ingrid",E101467,Human Resources,User,TRUE,09/09/2009,08/20/2026,05/09/2026,,TRUE
mtaylor,"Taylor, Michael",E100989,Information Technology,User,TRUE,02/19/2017,08/06/2026,07/07/2026,,TRUE
tthomas2,"Thomas, Thomas",E101620,Finance,User,TRUE,11/18/2015,07/09/2026,09/24/2025,,TRUE
jpatel,"Patel, James",E102920,Engineering,User,TRUE,05/16/2022,07/30/2026,02/15/2025,,FALSE
nthompson,"Thompson, Nancy",E101637,Engineering,User,TRUE,08/06/2013,08/17/2026,08/09/2026,,TRUE
zdavis,"Davis, Zara",E104668,Operations,User,TRUE,12/02/2014,08/08/2026,06/06/2026,,TRUE
lpatel,"Patel, Linda",E103345,Customer Service,User,TRUE,10/28/2011,08/15/2026,04/16/2025,,FALSE
wthomas,"Thomas, Wei",E104807,Engineering,User,FALSE,07/28/2014,02/12/2026,08/15/2026,,TRUE
pkowalski,"Kowalski, Patricia",E104525,Customer Service,User,TRUE,09/19/2025,08/03/2026,09/19/2025,,FALSE
plopez,"Lopez, Paul",E103955,Operations,User,TRUE,04/19/2012,07/31/2026,08/19/2026,,TRUE
adubois,"Dubois, Ashley",E105080,Engineering,User,TRUE,12/22/2013,07/02/2026,04/17/2024,,TRUE
arivera,"Rivera, Anika",E103153,Operations,User,TRUE,10/02/2019,07/16/2026,10/06/2025,,TRUE
pwalker,"Walker, Patricia",E101540,Marketing,User,TRUE,10/27/2013,08/15/2026,07/09/2026,,TRUE
rperez,"Perez, Rebecca",E103792,Operations,User,TRUE,06/10/2022,07/26/2026,02/25/2026,,TRUE
dadams,"Adams, David",E103451,Operations,User,TRUE,06/04/2020,07/28/2026,03/25/2026,,TRUE
kscott,"Scott, Kwame",E103799,Finance,User,FALSE,12/15/2011,07/16/2026,09/08/2025,,TRUE
bclark,"Clark, Brian",E102472,Customer Service,User,TRUE,07/04/2020,02/19/2026,11/03/2025,,TRUE
rmartinez2,"Martinez, Rebecca",E105281,Sales,User,TRUE,07/21/2010,07/08/2026,06/10/2026,,TRUE
arobinson,"Robinson, Amanda",E104583,Operations,User,FALSE,09/24/2009,09/25/2025,06/09/2026,,TRUE
grobinson,"Robinson, George",E100294,Information Technology,User,TRUE,03/14/2010,08/11/2026,07/01/2026,,TRUE
psanchez,"Sanchez, Patricia",E100531,Human Resources,User,TRUE,02/26/2023,07/06/2026,11/30/2025,,TRUE
twright,"Wright, Timothy",E102219,Information Technology,User,TRUE,05/22/2023,10/17/2025,10/21/2025,ERP_Superuser,TRUE
ssilva2,"Silva, Sofia",E105236,Operations,User,TRUE,09/09/2012,08/03/2026,03/31/2026,,TRUE
kcampbell,"Campbell, Kenneth",E104059,Marketing,User,TRUE,07/07/2011,07/24/2026,08/08/2026,,TRUE
cscott2,"Scott, Chloe",E102549,Engineering,User,FALSE,01/08/2013,01/14/2024,01/01/2024,,FALSE
slewis,"Lewis, Stephanie",E102071,Engineering,User,TRUE,08/18/2011,07/26/2026,08/07/2026,,FALSE
jgarcia,"Garcia, Joseph",E101491,Human Resources,User,FALSE,09/03/2023,05/30/2025,07/18/2026,,TRUE
tnguyen,"Nguyen, Timothy",E103816,Sales,User,TRUE,03/02/2020,07/08/2026,07/08/2026,,TRUE
lgreen,"Green, Lisa",E100917,Sales,User,TRUE,01/25/2019,07/01/2026,01/03/2025,,FALSE
kdavis,"Davis, Kevin",E100510,Information Technology,User,TRUE,12/17/2016,07/11/2026,07/25/2026,,TRUE
kgarcia,"Garcia, Kimberly",E100637,Engineering,User,TRUE,03/01/2025,08/18/2026,05/10/2026,,TRUE
asmith,"Smith, Amanda",E105024,Sales,User,TRUE,10/14/2018,07/02/2026,07/11/2026,,TRUE
ahall,"Hall, Anika",E102423,Sales,User,FALSE,05/18/2012,08/18/2026,07/24/2026,,FALSE
cjones,"Jones, Christopher",E102153,Engineering,User,TRUE,12/19/2024,08/27/2026,12/19/2024,,FALSE
cking,"King, Carol",E104416,Legal & Compliance,User,TRUE,01/01/2018,07/29/2026,07/04/2023,,TRUE
ihill,"Hill, Ingrid",E105380,Sales,User,TRUE,11/02/2019,08/04/2026,08/03/2026,,FALSE
lrivera,"Rivera, Lisa",E102114,Information Technology,User,TRUE,08/09/2013,07/04/2026,01/05/2026,SQL_DBA_Admins,TRUE
vendor_acme_sup,Vendor - ACME Support,,Information Technology,User,TRUE,10/19/2016,03/07/2025,02/26/2017,ERP_Superuser,FALSE
sflores,"Flores, Susan",E103057,Engineering,User,TRUE,10/18/2025,07/03/2026,05/04/2026,,TRUE
pwalker2,"Walker, Paul",E104565,Operations,User,TRUE,01/01/2018,07/02/2026,06/10/2026,,TRUE
jjackson2,"Jackson, James",E104397,Finance,User,TRUE,05/15/2022,06/20/2025,04/23/2026,,TRUE
kjackson,"Jackson, Kenneth",E104297,Operations,User,TRUE,05/01/2018,07/03/2026,06/22/2026,,TRUE
pjones2,"Jones, Patricia",E101980,Human Resources,User,TRUE,02/11/2017,06/30/2026,05/03/2026,,TRUE
aflores,"Flores, Andrew",E103023,Customer Service,User,FALSE,09/06/2020,11/03/2024,06/19/2026,,TRUE
imitchell,"Mitchell, Ingrid",E100935,Finance,User,TRUE,11/20/2014,08/03/2026,10/12/2024,,TRUE
bnguyen2,"Nguyen, Betty",E104184,Marketing,User,TRUE,12/27/2024,08/10/2026,06/28/2026,,TRUE
mkimura,"Kimura, Matthew",E101027,Engineering,User,FALSE,06/24/2016,06/23/2026,05/01/2026,,TRUE
escott2,"Scott, Elena",E105398,Engineering,User,TRUE,07/05/2010,01/23/2026,07/25/2026,,TRUE
dlopez2,"Lopez, Diego",E100857,Customer Service,User,TRUE,01/21/2010,02/18/2026,04/17/2026,,TRUE
cnelson,"Nelson, Chloe",E104130,Operations,User,TRUE,09/14/2020,12/25/2024,04/19/2024,Server Operators,TRUE
manderson,"Anderson, Melissa",E104067,Engineering,User,TRUE,11/18/2012,07/03/2026,06/18/2026,,TRUE
lroberts,"Roberts, Lisa",E103531,Information Technology,User,TRUE,08/31/2011,07/09/2026,07/17/2026,SQL_DBA_Admins,TRUE
psmith,"Smith, Priya",E105134,Customer Service,User,TRUE,04/03/2018,07/01/2026,06/02/2026,,TRUE
mmoore,"Moore, Maria",E100824,Engineering,User,TRUE,12/23/2015,08/10/2026,06/16/2026,,TRUE
shared_frontdesk,Shared - Front Desk Kiosk,,Operations,Shared,FALSE,02/28/2023,08/26/2025,05/05/2023,,FALSE
rhall2,"Hall, Rebecca",E102434,Operations,User,TRUE,02/27/2013,08/23/2026,07/03/2026,,TRUE
ayoung,"Young, Anika",E100309,Information Technology,User,TRUE,02/29/2024,08/06/2026,08/31/2025,,FALSE
pmartinez,"Martinez, Priya",E102529,Marketing,User,TRUE,01/29/2020,07/24/2026,08/19/2026,,TRUE
oroberts,"Roberts, Omar",E104649,Customer Service,User,TRUE,04/03/2022,07/12/2026,04/07/2026,,TRUE
lking,"King, Linda",E101110,Marketing,User,TRUE,01/17/2021,08/18/2026,11/26/2025,,TRUE
mrossi2,"Rossi, Mark",E104032,Sales,User,TRUE,09/10/2022,07/25/2026,08/20/2026,,FALSE
lnelson,"Nelson, Linda",E103920,Engineering,User,TRUE,09/06/2017,08/01/2026,02/09/2026,,TRUE
jcarter,"Carter, Jessica",E105099,Engineering,User,TRUE,07/30/2011,11/18/2025,10/07/2025,,TRUE
dwilliams,"Williams, Donald",E103145,Information Technology,User,TRUE,04/03/2012,12/24/2025,06/11/2026,SQL_DBA_Admins,TRUE
kbrown2,"Brown, Kwame",E104369,Sales,User,TRUE,02/18/2021,08/20/2026,07/05/2026,,TRUE
rkowalski,"Kowalski, Rebecca",E100609,Legal & Compliance,User,TRUE,06/30/2011,08/06/2026,11/09/2023,,TRUE
ctorres,"Torres, Christopher",E100520,Sales,User,FALSE,03/26/2021,01/18/2025,08/27/2026,,TRUE
asilva2,"Silva, Andrew",E101326,Information Technology,User,FALSE,12/26/2009,08/17/2025,09/16/2023,,TRUE
cgonzalez,"Gonzalez, Christopher",E104621,Engineering,User,TRUE,03/18/2020,07/22/2026,11/07/2025,,TRUE
wandersson,"Andersson, William",E104444,Finance,User,TRUE,08/29/2024,08/10/2026,09/25/2025,,TRUE
jlopez,"Lopez, James",E100847,Marketing,User,TRUE,07/05/2016,07/19/2026,05/06/2026,,TRUE
bwalker,"Walker, Betty",E102375,Engineering,User,TRUE,04/07/2012,08/29/2026,08/17/2026,,TRUE
sokafor,"Okafor, Susan",E104000,Marketing,User,TRUE,01/02/2024,08/09/2026,08/19/2026,,TRUE
elewis,"Lewis, Elizabeth",E103395,Information Technology,User,TRUE,05/04/2019,07/01/2026,07/07/2026,,TRUE
tbrown,"Brown, Tomas",E103652,Operations,User,TRUE,04/25/2014,07/01/2026,11/29/2025,,TRUE
awright,"Wright, Anika",E101800,Information Technology,User,TRUE,07/20/2013,08/11/2026,08/10/2026,,TRUE
sbaker,"Baker, Sarah",E103030,Human Resources,User,TRUE,06/07/2011,07/29/2026,07/18/2026,,TRUE
lscott,"Scott, Lisa",E105351,Sales,User,FALSE,08/11/2015,07/17/2025,12/26/2025,,TRUE
pking,"King, Paul",E105036,Human Resources,User,FALSE,11/19/2013,04/27/2025,07/04/2026,,TRUE
cjohnson,"Johnson, Charles",E103981,Sales,User,TRUE,05/26/2017,07/19/2026,01/17/2026,,TRUE
amiller,"Miller, Amanda",E101514,Sales,User,FALSE,06/23/2019,03/27/2026,03/22/2026,,TRUE
rmartin,"Martin, Ravi",E100401,Information Technology,User,FALSE,05/21/2019,07/01/2026,01/15/2026,,TRUE
svc_backup_prd,Service - Veeam Backup,,Information Technology,Service,TRUE,03/28/2020,07/20/2026,09/23/2020,,FALSE
mnovak2,"Novak, Mateo",E102269,Information Technology,User,TRUE,08/14/2010,08/09/2026,10/15/2025,Domain Admins,FALSE
awright2,"Wright, Andrew",E101937,Engineering,User,TRUE,02/07/2024,07/19/2026,08/18/2026,,TRUE
msmith,"Smith, Michael",E102771,Sales,User,TRUE,11/02/2016,07/31/2026,07/07/2026,,TRUE
dharris,"Harris, Donald",E102389,Operations,User,TRUE,05/25/2014,06/30/2026,08/17/2026,,TRUE
mallen,"Allen, Margaret",E102732,Information Technology,User,TRUE,10/22/2009,01/09/2026,03/08/2026,,FALSE
tmitchell,"Mitchell, Tomas",E103928,Sales,User,TRUE,11/17/2024,07/04/2026,01/24/2026,,FALSE
jwilson,"Wilson, James",E101231,Human Resources,User,TRUE,04/14/2018,08/12/2026,07/17/2026,,TRUE
zgreen,"Green, Zara",E101813,Information Technology,User,TRUE,05/09/2009,07/23/2026,06/19/2026,ERP_Superuser,TRUE
tgreen,"Green, Timothy",E103107,Operations,User,TRUE,07/23/2015,07/19/2026,02/04/2026,,TRUE
kbrown,"Brown, Kimberly",E104071,Operations,User,TRUE,03/18/2022,06/30/2026,08/12/2025,,TRUE
mramirez2,"Ramirez, Mateo",E100829,Human Resources,User,TRUE,09/22/2022,07/12/2026,02/14/2023,,TRUE
mclark2,"Clark, Maria",E104279,Information Technology,User,TRUE,02/10/2018,07/03/2026,12/01/2025,Backup Operators,TRUE
akimura,"Kimura, Anika",E102106,Engineering,User,TRUE,02/18/2023,08/17/2026,07/29/2026,,TRUE
rwilliams,"Williams, Ronald",E104325,Customer Service,User,TRUE,10/31/2019,08/26/2026,07/26/2026,,TRUE
dflores2,"Flores, Donald",E104051,Customer Service,User,FALSE,03/29/2019,08/15/2026,01/23/2023,,FALSE
bgonzalez,"Gonzalez, Betty",E102801,Finance,User,TRUE,02/26/2009,06/30/2026,07/03/2026,,FALSE
rgonzalez2,"Gonzalez, Richard",E105045,Finance,User,FALSE,02/22/2012,01/16/2024,12/23/2025,,TRUE
phaddad,"Haddad, Paul",E102351,Information Technology,User,TRUE,07/29/2014,07/12/2026,01/26/2026,Domain Admins,FALSE
mclark,"Clark, Melissa",E102030,Marketing,User,FALSE,08/08/2025,08/20/2026,08/08/2025,,TRUE
sperez,"Perez, Susan",E104225,Legal & Compliance,User,TRUE,05/19/2025,08/02/2026,07/04/2026,,TRUE
dnovak,"Novak, Diego",E101040,Customer Service,User,TRUE,05/13/2014,07/01/2026,02/16/2026,,TRUE
lnguyen,"Nguyen, Luca",E100052,Operations,User,TRUE,12/04/2016,07/11/2026,06/13/2026,,TRUE
abaker3,"Baker, Amanda",E105124,Engineering,User,TRUE,01/22/2023,07/01/2026,04/16/2026,,TRUE
cmoore,"Moore, Carol",E103457,Engineering,User,TRUE,09/16/2015,07/19/2026,06/11/2026,,TRUE
